seed,alpha,rango,barrio,valor
619,0.1,0.0,0,0.41004360553753116
619,0.1,0.0,1,0.3534106893011244
619,0.1,0.0,2,0.4045184633423058
619,0.1,0.0,3,0.37337052514732383
619,0.1,0.010101010101010102,0,0.41698734341967625
619,0.1,0.010101010101010102,1,0.40234835657948054
619,0.1,0.010101010101010102,2,0.373547671178589
619,0.1,0.010101010101010102,3,0.3815445802446824
619,0.1,0.020202020202020204,0,0.526144675034482
619,0.1,0.020202020202020204,1,0.5416268077646929
619,0.1,0.020202020202020204,2,0.49113857069338085
619,0.1,0.020202020202020204,3,0.4713994382042268
619,0.1,0.030303030303030304,0,0.5582894552391628
619,0.1,0.030303030303030304,1,0.5677794811956638
619,0.1,0.030303030303030304,2,0.5339169313666605
619,0.1,0.030303030303030304,3,0.5007209934391785
619,0.1,0.04040404040404041,0,0.5307301115233587
619,0.1,0.04040404040404041,1,0.5536136244428109
619,0.1,0.04040404040404041,2,0.5495896698701825
619,0.1,0.04040404040404041,3,0.544941463618916
619,0.1,0.05050505050505051,0,0.5193922822346064
619,0.1,0.05050505050505051,1,0.5588328520817607
619,0.1,0.05050505050505051,2,0.5746304538089118
619,0.1,0.05050505050505051,3,0.5275200692698823
619,0.1,0.06060606060606061,0,0.579608701624825
619,0.1,0.06060606060606061,1,0.5634646675303663
619,0.1,0.06060606060606061,2,0.5543433800787381
619,0.1,0.06060606060606061,3,0.4810092456433914
619,0.1,0.07070707070707072,0,0.5506915409132873
619,0.1,0.07070707070707072,1,0.5458896927820922
619,0.1,0.07070707070707072,2,0.5490320573450307
619,0.1,0.07070707070707072,3,0.5489233966882017
619,0.1,0.08080808080808081,0,0.5473247812532347
619,0.1,0.08080808080808081,1,0.5469436603418933
619,0.1,0.08080808080808081,2,0.5540594433315511
619,0.1,0.08080808080808081,3,0.5433630713577966
619,0.1,0.09090909090909091,0,0.5711430145965495
619,0.1,0.09090909090909091,1,0.5594873104467148
619,0.1,0.09090909090909091,2,0.5392216760815915
619,0.1,0.09090909090909091,3,0.49090009329150996
619,0.1,0.10101010101010102,0,0.5540925853869214
619,0.1,0.10101010101010102,1,0.5634610648992058
619,0.1,0.10101010101010102,2,0.5400157896320825
619,0.1,0.10101010101010102,3,0.544243358793125
619,0.1,0.11111111111111112,0,0.585980454173848
619,0.1,0.11111111111111112,1,0.5458402800923947
619,0.1,0.11111111111111112,2,0.5614978774447763
619,0.1,0.11111111111111112,3,0.5798369658140985
619,0.1,0.12121212121212122,0,0.5579489999030647
619,0.1,0.12121212121212122,1,0.5588427759986203
619,0.1,0.12121212121212122,2,0.523244314154732
619,0.1,0.12121212121212122,3,0.503481315930395
619,0.1,0.13131313131313133,0,0.5711755190662249
619,0.1,0.13131313131313133,1,0.5275063232697441
619,0.1,0.13131313131313133,2,0.5212133586418597
619,0.1,0.13131313131313133,3,0.5745982784995469
619,0.1,0.14141414141414144,0,0.5786703408067524
619,0.1,0.14141414141414144,1,0.5318631398466522
619,0.1,0.14141414141414144,2,0.512397898405133
619,0.1,0.14141414141414144,3,0.5777070454069886
619,0.1,0.15151515151515152,0,0.5764483232974451
619,0.1,0.15151515151515152,1,0.5755402178328983
619,0.1,0.15151515151515152,2,0.5378193485933787
619,0.1,0.15151515151515152,3,0.5052523540743032
619,0.1,0.16161616161616163,0,0.5849363935257332
619,0.1,0.16161616161616163,1,0.5448088582806008
619,0.1,0.16161616161616163,2,0.5166212655252818
619,0.1,0.16161616161616163,3,0.5291801007045251
619,0.1,0.17171717171717174,0,0.5717645624754457
619,0.1,0.17171717171717174,1,0.4854758756273805
619,0.1,0.17171717171717174,2,0.5306289582507506
619,0.1,0.17171717171717174,3,0.5473737250325794
619,0.1,0.18181818181818182,0,0.5820014074722006
619,0.1,0.18181818181818182,1,0.5990092711240418
619,0.1,0.18181818181818182,2,0.5286394493029536
619,0.1,0.18181818181818182,3,0.5023021738170486
619,0.1,0.19191919191919193,0,0.561288852567434
619,0.1,0.19191919191919193,1,0.5479766190211877
619,0.1,0.19191919191919193,2,0.5587153103548999
619,0.1,0.19191919191919193,3,0.5546192900244782
619,0.1,0.20202020202020204,0,0.5520862889336333
619,0.1,0.20202020202020204,1,0.4670421068088242
