seed,alpha,rango,barrio,valor
619,0.1,0.0,0,0.1694958628338037
619,0.1,0.0,1,0.18562699810937122
619,0.1,0.0,2,0.17055863466837073
619,0.1,0.0,3,0.17321788992144205
619,0.1,0.010101010101010102,0,0.17056486317219477
619,0.1,0.010101010101010102,1,0.17206314452066995
619,0.1,0.010101010101010102,2,0.1713068294605804
619,0.1,0.010101010101010102,3,0.17577304088765566
619,0.1,0.020202020202020204,0,0.1983016123646173
619,0.1,0.020202020202020204,1,0.16016094304220263
619,0.1,0.020202020202020204,2,0.17101329983678792
619,0.1,0.020202020202020204,3,0.17484918848386122
619,0.1,0.030303030303030304,0,0.19548369776864427
619,0.1,0.030303030303030304,1,0.16603276972818715
619,0.1,0.030303030303030304,2,0.16655662336022625
619,0.1,0.030303030303030304,3,0.1714486500676331
619,0.1,0.04040404040404041,0,0.19160969255282367
619,0.1,0.04040404040404041,1,0.1559284451334415
619,0.1,0.04040404040404041,2,0.16383228348151246
619,0.1,0.04040404040404041,3,0.16453976186798247
619,0.1,0.05050505050505051,0,0.18281584387952132
619,0.1,0.05050505050505051,1,0.1446999750577671
619,0.1,0.05050505050505051,2,0.15706453651963437
619,0.1,0.05050505050505051,3,0.16575133269956943
619,0.1,0.06060606060606061,0,0.18032978355301688
619,0.1,0.06060606060606061,1,0.14966144588055674
619,0.1,0.06060606060606061,2,0.15828646365494925
619,0.1,0.06060606060606061,3,0.17139913772199633
619,0.1,0.07070707070707072,0,0.1781402322617862
619,0.1,0.07070707070707072,1,0.14372195987260916
619,0.1,0.07070707070707072,2,0.1530178894867371
619,0.1,0.07070707070707072,3,0.16682325071088555
619,0.1,0.08080808080808081,0,0.16705534090731566
619,0.1,0.08080808080808081,1,0.1383533349525572
619,0.1,0.08080808080808081,2,0.14810080785188506
619,0.1,0.08080808080808081,3,0.16342636627185425
619,0.1,0.09090909090909091,0,0.16792579916632078
619,0.1,0.09090909090909091,1,0.14397512104568988
619,0.1,0.09090909090909091,2,0.1476259907631705
619,0.1,0.09090909090909091,3,0.17013755381245166
619,0.1,0.10101010101010102,0,0.1687227135489835
619,0.1,0.10101010101010102,1,0.14713905599323174
619,0.1,0.10101010101010102,2,0.1541798211592933
619,0.1,0.10101010101010102,3,0.16936515446698852
619,0.1,0.11111111111111112,0,0.1612204113612561
619,0.1,0.11111111111111112,1,0.13782464029231067
619,0.1,0.11111111111111112,2,0.15173058625499047
619,0.1,0.11111111111111112,3,0.17384610191752747
619,0.1,0.12121212121212122,0,0.16208656902469598
619,0.1,0.12121212121212122,1,0.14717353956477885
619,0.1,0.12121212121212122,2,0.15103044314183922
619,0.1,0.12121212121212122,3,0.1740544098646275
619,0.1,0.13131313131313133,0,0.1540549689872166
619,0.1,0.13131313131313133,1,0.1359062662564292
619,0.1,0.13131313131313133,2,0.15090215375565919
619,0.1,0.13131313131313133,3,0.17172370849048857
619,0.1,0.14141414141414144,0,0.15590220418742073
619,0.1,0.14141414141414144,1,0.13702897201045228
619,0.1,0.14141414141414144,2,0.15429089038806487
619,0.1,0.14141414141414144,3,0.1669459896070251
619,0.1,0.15151515151515152,0,0.15402847040446344
619,0.1,0.15151515151515152,1,0.1380402825463285
619,0.1,0.15151515151515152,2,0.1462692582576377
619,0.1,0.15151515151515152,3,0.17796830791067486
619,0.1,0.16161616161616163,0,0.1564593415115536
619,0.1,0.16161616161616163,1,0.13498286959455874
619,0.1,0.16161616161616163,2,0.14871248934409032
619,0.1,0.16161616161616163,3,0.17104968511361696
619,0.1,0.17171717171717174,0,0.14906676542354202
619,0.1,0.17171717171717174,1,0.13374821942637727
619,0.1,0.17171717171717174,2,0.14291542957104397
619,0.1,0.17171717171717174,3,0.16272980425637984
619,0.1,0.18181818181818182,0,0.13646368311579749
619,0.1,0.18181818181818182,1,0.13761442072685814
619,0.1,0.18181818181818182,2,0.1447190465283359
619,0.1,0.18181818181818182,3,0.17791615826024154
619,0.1,0.19191919191919193,0,0.14060328120342103
619,0.1,0.19191919191919193,1,0.1319389645366147
619,0.1,0.19191919191919193,2,0.14846011279225957
619,0.1,0.19191919191919193,3,0.16534618721415528
619,0.1,0.20202020202020204,0,0.16025232125509548
619,0.1,0.20202020202020204,1,0.13217053686466507
619,0.1,0.20202020202020204,2,0.14355863396551083
