seed,alpha,rango,barrio,valor
422,0.1,0.0,0,0.3409346163326943
422,0.1,0.0,1,0.3295408382095384
422,0.1,0.0,2,0.3415650296440764
422,0.1,0.0,3,0.3140878385183439
422,0.1,0.010101010101010102,0,0.34686784892313227
422,0.1,0.010101010101010102,1,0.33644861863901854
422,0.1,0.010101010101010102,2,0.334756812190089
422,0.1,0.010101010101010102,3,0.3424044745981287
422,0.1,0.020202020202020204,0,0.35546864099923603
422,0.1,0.020202020202020204,1,0.3467889298959317
422,0.1,0.020202020202020204,2,0.3443325581921646
422,0.1,0.020202020202020204,3,0.3361746646012491
422,0.1,0.030303030303030304,0,0.3554614957829194
422,0.1,0.030303030303030304,1,0.3371265862556274
422,0.1,0.030303030303030304,2,0.34276244732046623
422,0.1,0.030303030303030304,3,0.3377499181256247
422,0.1,0.04040404040404041,0,0.349604371791737
422,0.1,0.04040404040404041,1,0.3353608894425344
422,0.1,0.04040404040404041,2,0.3427347508452665
422,0.1,0.04040404040404041,3,0.35352615142101484
422,0.1,0.05050505050505051,0,0.3412840371984387
422,0.1,0.05050505050505051,1,0.34154599606939273
422,0.1,0.05050505050505051,2,0.3356413051228986
422,0.1,0.05050505050505051,3,0.34561231941802584
422,0.1,0.06060606060606061,0,0.3418948954187446
422,0.1,0.06060606060606061,1,0.3598712025251407
422,0.1,0.06060606060606061,2,0.34538700875612505
422,0.1,0.06060606060606061,3,0.33403146789701976
422,0.1,0.07070707070707072,0,0.355576533198678
422,0.1,0.07070707070707072,1,0.35176567433953565
422,0.1,0.07070707070707072,2,0.3463784215559409
422,0.1,0.07070707070707072,3,0.3564524347833291
422,0.1,0.08080808080808081,0,0.32323859575088987
422,0.1,0.08080808080808081,1,0.35542876280838387
422,0.1,0.08080808080808081,2,0.3398023459971833
422,0.1,0.08080808080808081,3,0.34061342597669153
422,0.1,0.09090909090909091,0,0.35392444401936496
422,0.1,0.09090909090909091,1,0.3476556893796765
422,0.1,0.09090909090909091,2,0.3586758889188275
422,0.1,0.09090909090909091,3,0.3217061617714585
422,0.1,0.10101010101010102,0,0.3571045232312948
422,0.1,0.10101010101010102,1,0.3420611777061575
422,0.1,0.10101010101010102,2,0.33341813266671183
422,0.1,0.10101010101010102,3,0.32894449174704543
422,0.1,0.11111111111111112,0,0.3611066841606396
422,0.1,0.11111111111111112,1,0.3568247830940068
422,0.1,0.11111111111111112,2,0.3525090485640141
422,0.1,0.11111111111111112,3,0.33276552212796195
422,0.1,0.12121212121212122,0,0.3481048446305943
422,0.1,0.12121212121212122,1,0.3572250144431599
422,0.1,0.12121212121212122,2,0.34191064185609044
422,0.1,0.12121212121212122,3,0.32426001499164636
422,0.1,0.13131313131313133,0,0.35327416134637035
422,0.1,0.13131313131313133,1,0.3459456605287752
422,0.1,0.13131313131313133,2,0.33230997165480414
422,0.1,0.13131313131313133,3,0.3438620313386742
422,0.1,0.14141414141414144,0,0.3480809597937755
422,0.1,0.14141414141414144,1,0.34286360250696735
422,0.1,0.14141414141414144,2,0.3582145255632554
422,0.1,0.14141414141414144,3,0.33904243188782845
422,0.1,0.15151515151515152,0,0.3634367564824805
422,0.1,0.15151515151515152,1,0.35181490705039176
422,0.1,0.15151515151515152,2,0.34644408841917484
422,0.1,0.15151515151515152,3,0.3560827197658365
422,0.1,0.16161616161616163,0,0.35060571626041837
422,0.1,0.16161616161616163,1,0.33862472581493286
422,0.1,0.16161616161616163,2,0.3406563790650461
422,0.1,0.16161616161616163,3,0.3250649874879936
422,0.1,0.17171717171717174,0,0.3556105268623515
422,0.1,0.17171717171717174,1,0.3715179026671316
422,0.1,0.17171717171717174,2,0.34103231243985865
422,0.1,0.17171717171717174,3,0.3344952133473511
422,0.1,0.18181818181818182,0,0.35318182039049084
422,0.1,0.18181818181818182,1,0.3524599771474819
422,0.1,0.18181818181818182,2,0.3333497997002872
422,0.1,0.18181818181818182,3,0.342900157805766
422,0.1,0.19191919191919193,0,0.34258991334208244
422,0.1,0.19191919191919193,1,0.3656755659697013
422,0.1,0.19191919191919193,2,0.34530044622243916
422,0.1,0.19191919191919193,3,0.32956502555369993
422,0.1,0.20202020202020204,0,0.36522036476753406
422,0.1,0.20202020202020204,1,0.36974290609413796
422,0.1,0.20202020202020204,2,0.34672176379055863
422,0.1,0.20202020202020204,3,0.34603753957602024
422,0.1,0.21212121212121213,0,0.34511876036785094
422,0.1,0.21212121212121213,1,0.34374968765537894
422,0.1,0.21212121212121213,2,0.34250727306797746
422,0.1,0.21212121212121213,3,0.35960700267524826
422,0.1,0.22222222222222224,0,0.3819347982492667
422,0.1,0.22222222222222224,1,0.3425878612934856
422,0.1,0.22222222222222224,2,0.34548325963574666
422,0.1,0.22222222222222224,3,0.34498856347311646
422,0.1,0.23232323232323235,0,0.35456196784832406
422,0.1,0.23232323232323235,1,0.37191466033890785
422,0.1,0.23232323232323235,2,0.335773064314983
422,0.1,0.23232323232323235,3,0.33404241119591016
422,0.1,0.24242424242424243,0,0.373213547877397
422,0.1,0.24242424242424243,1,0.3629001945497292
422,0.1,0.24242424242424243,2,0.3435933139447882
422,0.1,0.24242424242424243,3,0.36059529559034287
422,0.1,0.25252525252525254,0,0.36218688749928796
422,0.1,0.25252525252525254,1,0.34523941105265754
422,0.1,0.25252525252525254,2,0.35311185497808073
422,0.1,0.25252525252525254,3,0.33936437178796797
422,0.1,0.26262626262626265,0,0.37041316108667943
422,0.1,0.26262626262626265,1,0.3587077602237305
422,0.1,0.26262626262626265,2,0.3511719507448927
422,0.1,0.26262626262626265,3,0.3541388277428006
422,0.1,0.27272727272727276,0,0.3511274672995419
422,0.1,0.27272727272727276,1,0.3732910881068645
422,0.1,0.27272727272727276,2,0.3435620569294424
422,0.1,0.27272727272727276,3,0.3522723014731326
422,0.1,0.2828282828282829,0,0.3605700249832551
422,0.1,0.2828282828282829,1,0.3617009459195841
422,0.1,0.2828282828282829,2,0.33447357740689077
422,0.1,0.2828282828282829,3,0.32857982626651694
422,0.1,0.29292929292929293,0,0.35857674101026804
422,0.1,0.29292929292929293,1,0.3478671745481543
422,0.1,0.29292929292929293,2,0.3404585890081253
422,0.1,0.29292929292929293,3,0.35063307659159926
422,0.1,0.30303030303030304,0,0.3650186309987993
